num_iter,prot,nn_d,area_buff,prox,eca,flux,awf,pc,protconn,protconn_prot,protconn_unprot,protconn_trans,protconn_within,protconn_contig,iic,bc,degree,clustering_coeff,compartment,cohesion,gyrate,aw_gyrate,mean_patch_area,mean_patch_peri,mean_patch_shape,total_edge,edge_density
1,11.0087,11385.46224,826154112.1,138.8517529,4303.52985,471.977,6586300,4549.77,4.4864,21.7193,21.7193,78.2807,3.512,0.9744,4123.59,0.071428571,0.102040816,0.125,1,97.58553911,9964.025973,29454.93518,78900,205000,1.83262368,0,0
2,10.2154,11993.5585,769761357.8,17157.34483,3629.280757,473.718,3847500,3881.39,3.7835,15.4975,15.4975,84.5025,3.1972,0.5864,3602.57,0,0.102040816,0.172619048,1,97.61990136,10221.70206,29523.28844,117250,268000,1.984883381,0,0
3,11.0649,12008.9706,830084461.9,17161.98162,4420.269236,478.665,7047000,4826.88,4.6081,23.4727,23.4727,76.5273,3.5265,1.0816,4321.89,0.071428571,0.117346939,0.172619048,1,97.63260638,10352.57232,29446.24257,76650,223000,2.010306505,0,0
4,10.9804,12932.13267,820494704,17158.99562,4518.783081,472.535,7863240,4864.69,4.7108,25.6055,25.6055,74.3945,3.5046,1.2062,4296.25,0.071428571,0.107142857,0.101190476,1,97.62924007,10079.31118,29406.47954,83250,236000,2.039605895,0,0
5,11.6827,9003.140092,872411785.5,17161.98162,4611.925188,479.446,7895530,5024.19,4.8079,24.6058,24.6058,75.3942,3.6248,1.183,4396.14,0.071428571,0.117346939,0.172619048,1,97.6327658,10074.27788,29351.36725,46650,150000,1.748909209,0,0
6,11.7436,8497.97996,873139718.6,17161.98162,4619.023557,479.564,7918810,5029.08,4.8153,24.6428,24.6428,75.3572,3.6287,1.1866,4396.71,0.071428571,0.117346939,0.172619048,1,97.63447756,10063.87763,29341.18804,46250,158000,1.919404143,0,0
7,11.1059,8716.976396,832448069.1,17161.98162,4518.399386,479.504,7693270,4944.29,4.7104,24.9236,24.9236,75.0764,3.5364,1.174,4328.2,0.071428571,0.117346939,0.172619048,1,97.63103509,10141.72863,29459.44558,75500,193000,1.761635497,0,0
8,10.5556,12917.92467,791597005.2,17159.00972,4141.130687,478.477,5415200,4576,4.3171,22.197,22.197,77.803,3.3588,0.9583,3925.81,0.071428571,0.107142857,0.172619048,1,97.62514866,10213.90751,29406.10197,102750,251000,1.973489828,0,0
9,11.8332,11077.56575,873247696.2,17160.04158,4622.093122,474.126,7927360,5033.45,4.8185,24.613,24.613,75.387,3.6325,1.186,4400.34,0.071428571,0.102040816,0.19047619,1,97.62852495,10060.83384,29313.37018,39350,125000,1.601867261,0,0
10,10.3158,14800.35776,777298043.6,17159.00972,4032.73668,478.306,5211410,4487.66,4.2041,22.7075,22.7075,77.2925,3.2494,0.9546,3850.58,0.071428571,0.107142857,0.172619048,1,97.62328145,8350.738792,29537.13249,113250,213000,1.65719781,0,0
11,11.8051,11705.87319,870774672.8,17160.85387,4621.421654,471.578,7927440,5032.29,4.8178,24.6221,24.6221,75.3779,3.6316,1.1863,4399.48,0.071428571,0.091836735,0.119047619,1,97.62466232,10019.16588,29321.69598,40650,133000,1.6982177,0,0
12,11.3427,11388.10395,844424442.3,17156.47056,4585.737963,475.442,7903370,4906.11,4.7806,25.025,25.025,74.975,3.5843,1.1963,4308.39,0.071428571,0.107142857,0.172619048,1,97.6268185,10071.2584,29418.87754,66500,194000,1.88096084,0,0
13,11.6084,11667.73673,842088663.5,17139.60248,4466.696404,474.98,7223840,4846.63,4.6565,22.2864,22.2864,77.7136,3.6187,1.0378,4277.71,0,0.102040816,0.172619048,1,97.61712146,9606.531284,29379.70395,53950,167000,1.795989846,0,0
